Time (s),x Accel,y Accel,z Accel,x Vel,y Vel,x Dis,y Dis,Interval Index Range,Interval #,Last Interval Value X,Last Interval Value Y,Offset X,Offset Y,Corrected x Dis,Corrected y Dis
1.3,0.097097631,-0.094088451,0,0.12801718,-0.149086376,0.089945698,-0.10303942,,,,,,,0.089945698,-0.10303942
1.3,0.097505418,-0.094594091,0,0.12801718,-0.149086376,0.089945698,-0.10303942,,,,,,,0.089945698,-0.10303942
1.3,0.097909122,-0.09517061,0,0.12801718,-0.149086376,0.089945698,-0.10303942,,,,,,,0.089945698,-0.10303942
1.3,0.098304573,-0.095800067,0,0.12801718,-0.149086376,0.089945698,-0.10303942,,,,,,,0.089945698,-0.10303942
1.3,0.09868844,-0.096459176,0,0.12801718,-0.149086376,0.089945698,-0.10303942,,,,,,,0.089945698,-0.10303942
1.3,0.099058071,-0.097119528,0,0.12801718,-0.149086376,0.089945698,-0.10303942,,,,,,,0.089945698,-0.10303942
1.3,0.099411109,-0.097748746,0,0.12801718,-0.149086376,0.089945698,-0.10303942,,,,,,,0.089945698,-0.10303942
1.3,0.099745422,-0.09831255,0,0.138007419,-0.158940881,0.10374644,-0.118933508,,,,,,,0.10374644,-0.118933508
1.4,0.10005935,-0.098777564,0,0.138007419,-0.158940881,0.10374644,-0.118933508,,,,,,,0.10374644,-0.118933508
1.4,0.100351875,-0.099114617,0,0.138007419,-0.158940881,0.10374644,-0.118933508,,,,,,,0.10374644,-0.118933508
1.4,0.100622532,-0.099301701,0,0.138007419,-0.158940881,0.10374644,-0.118933508,,,,,,,0.10374644,-0.118933508
1.4,0.100871073,-0.099325092,0,0.138007419,-0.158940881,0.10374644,-0.118933508,,,,,,,0.10374644,-0.118933508
1.4,0.101097044,-0.099177952,0,0.138007419,-0.158940881,0.10374644,-0.118933508,,,,,,,0.10374644,-0.118933508
1.4,0.101299606,-0.098857557,0,0.138007419,-0.158940881,0.10374644,-0.118933508,,,,,,,0.10374644,-0.118933508
1.4,0.10147781,-0.098363146,0,0.138007419,-0.158940881,0.10374644,-0.118933508,,,,,,,0.10374644,-0.118933508
1.4,0.101631036,-0.097695451,0,0.138007419,-0.158940881,0.10374644,-0.118933508,,,,,,,0.10374644,-0.118933508
1.4,0.101759242,-0.096857531,0,0.138007419,-0.158940881,0.10374644,-0.118933508,,,,,,,0.10374644,-0.118933508
1.4,0.101862929,-0.095855939,0,0.148197716,-0.168468752,0.118566212,-0.135780383,,,,,,,0.118566212,-0.135780383
1.5,0.101943011,-0.094701472,0,0.148197716,-0.168468752,0.118566212,-0.135780383,,,,,,,0.118566212,-0.135780383
1.5,0.10200066,-0.093409408,0,0.148197716,-0.168468752,0.118566212,-0.135780383,,,,,,,0.118566212,-0.135780383
1.5,0.102037114,-0.091999326,0,0.148197716,-0.168468752,0.118566212,-0.135780383,,,,,,,0.118566212,-0.135780383
1.5,0.10205342,-0.090494393,0,0.148197716,-0.168468752,0.118566212,-0.135780383,,,,,,,0.118566212,-0.135780383
1.5,0.102050394,-0.088920028,0,0.148197716,-0.168468752,0.118566212,-0.135780383,,,,,,,0.118566212,-0.135780383
1.5,0.102029049,-0.087302102,0,0.148197716,-0.168468752,0.118566212,-0.135780383,,,,,,,0.118566212,-0.135780383
1.5,0.101991323,-0.085664834,0,0.148197716,-0.168468752,0.118566212,-0.135780383,,,,,,,0.118566212,-0.135780383
